id,name,genes
CHLPCTD,choline phosphate cytididyltransferase,frozenset({<Gene YALI0D18271g at 0x7fb3b5643910>})
FAS140COA,fatty acyl CoA synthase n C140CoA ,"frozenset({<Gene YALI0B19382g at 0x7fb3b5643590>, <Gene YALI0E23185g at 0x7fb3b5643790>, <Gene YALI0C11407g at 0x7fb3b5643250>, <Gene YALI0B15059g at 0x7fb3b563f8d0>})"
CHLt2,choline transport via proton symport,frozenset({<Gene YALI0A18183g at 0x7fb3b5641b10>})
CHOLK,Choline kinase,frozenset({<Gene YALI0E16907g at 0x7fb3b56437d0>})
FAS160COA,fatty acyl CoA synthase n C160CoA ,"frozenset({<Gene YALI0B19382g at 0x7fb3b5643590>, <Gene YALI0E23185g at 0x7fb3b5643790>, <Gene YALI0C11407g at 0x7fb3b5643250>, <Gene YALI0B15059g at 0x7fb3b563f8d0>})"
FAS180COA,fatty acyl CoA synthase n C180CoA ,"frozenset({<Gene YALI0B19382g at 0x7fb3b5643590>, <Gene YALI0E23185g at 0x7fb3b5643790>, <Gene YALI0C11407g at 0x7fb3b5643250>, <Gene YALI0B15059g at 0x7fb3b563f8d0>})"
CHRPL,Chorismate pyruvate lyase,"frozenset({<Gene YALI0D11110g at 0x7fb3b5643490>, <Gene YALI0E14751g at 0x7fb3b5643450>})"
CHTNDA,chitin deacetylase,frozenset({<Gene YALI0F30833g at 0x7fb3b56438d0>})
CHTNS,chitin synthase,"frozenset({<Gene YALI0E22198g at 0x7fb3b5643810>, <Gene YALI0D25938g at 0x7fb3b5643a10>, <Gene YALI0B16324g at 0x7fb3b5643c10>, <Gene YALI0D03179g at 0x7fb3b5643c50>, <Gene YALI0C24354g at 0x7fb3b5643950>})"
CITt2r,citrate reversible transport via symport,frozenset()
FAS80COA_L,fatty acyl CoA synthase n C80CoA lumped reaction,"frozenset({<Gene YALI0B19382g at 0x7fb3b5643590>, <Gene YALI0E23185g at 0x7fb3b5643790>, <Gene YALI0C11407g at 0x7fb3b5643250>, <Gene YALI0B15059g at 0x7fb3b563f8d0>})"
CITtap,citratemalate antiport into peroxisome,frozenset()
CITtbm,citrate transport mitochondrial,frozenset({<Gene YALI0F26323g at 0x7fb3b5643dd0>})
CITtcm,citrate transport mitochondrial,frozenset({<Gene YALI0F26323g at 0x7fb3b5643dd0>})
CITtcp,citrateisocitrate antiport into peroxisome,frozenset()
CLPNSm_SC,cardiolipin synthase yeast specific mitochondrial,frozenset({<Gene YALI0F23837g at 0x7fb3b5643e50>})
CMPN,CMP nucleosidase,frozenset()
CMPtm,CMP transport diffusion mitochondrial,frozenset()
DHFRi,dihydrofolate reductase irreversible ,frozenset({<Gene YALI0C12771g at 0x7fb3b5643b10>})
CO2tg,CO2 Golgi transport,frozenset()
FTHFL,formate tetrahydrofolate ligase,"frozenset({<Gene YALI0F30745g at 0x7fb3b5643ed0>, <Gene YALI0E01056g at 0x7fb3b56439d0>})"
CO2tn,CO2 nuclear transport via diffusion,frozenset()
CO2tp,CO2 peroxisomal transport,frozenset()
CO2tv,CO2 vacuolar transport,frozenset()
CPPPGO,coproporphyrinogen oxidase O2 required ,frozenset({<Gene YALI0E29975g at 0x7fb3b5643d90>})
CRNCARtm,carnithine acetylcarnithine carrier mitochondrial,frozenset({<Gene YALI0C02431g at 0x7fb3b5643f10>})
CRNCARtp,carnitine acetylcarnitine carrier peroxisomal,frozenset()
CRNt,L carnitine reversible transport,frozenset({<Gene YALI0C07678g at 0x7fb3b5643f90>})
CRNtim,L carnitine transport out of mitochondria via diffusion,frozenset()
CRNtp,carnitine transport into peroxsiome,frozenset()
CSNAT,carnitine O acetyltransferase,frozenset()
CSNATifm,carnitine O aceyltransferase forward reaction mitochondrial,frozenset({<Gene YALI0F21197g at 0x7fb3b5643e90>})
CSNATirm,carnitine O acetyltransferase reverse direction mitochondrial,frozenset({<Gene YALI0B10340g at 0x7fb3b5643fd0>})
CSNATirp,carnitine O acetyltransferase reverse direction peroxisomal,frozenset({<Gene YALI0B10340g at 0x7fb3b5643fd0>})
CSND,Cytosine deaminase,frozenset({<Gene YALI0F22517g at 0x7fb3b5644250>})
CSNt2,cytosine transport in via proton symport,"frozenset({<Gene YALI0D07392g at 0x7fb3b563f990>, <Gene YALI0F30569g at 0x7fb3b563fa50>})"
CSp,citrate synthase,frozenset({<Gene YALI0E02684g at 0x7fb3b5642850>})
CTPS1,CTP synthase NH3 ,frozenset({<Gene YALI0B05368g at 0x7fb3b5644110>})
CTPS2,CTP synthase glutamine ,frozenset({<Gene YALI0B05368g at 0x7fb3b5644110>})
MAN1PT,mannose 1 phosphate guanylyltransferase,"frozenset({<Gene YALI0E15125g at 0x7fb3b5644290>, <Gene YALI0C06490g at 0x7fb3b56443d0>})"
CYSTGL,cystathionine g lyase,frozenset({<Gene YALI0F05874g at 0x7fb3b5643e10>})
CYSTL,cystathionine b lyase,frozenset({<Gene YALI0D00605g at 0x7fb3b5644490>})
CYSTLp,cystathione b lyase peroxisomal,frozenset({<Gene YALI0D00605g at 0x7fb3b5644490>})
CYSTRS,Cysteinyl tRNA synthetase,frozenset({<Gene YALI0D15268g at 0x7fb3b5644410>})
CYSTS,cystathionine beta synthase,frozenset({<Gene YALI0D15268g at 0x7fb3b5644410>})
CYSTtp,cystathione peroxisomal transport,frozenset()
CYSt2r,L cysteine reversible transport via proton symport,frozenset({<Gene YALI0B16522g at 0x7fb3b5640950>})
CYTD,cytidine deaminase,frozenset({<Gene YALI0D17072g at 0x7fb3b5644550>})
CYTDK2,cytidine kinase GTP ,frozenset({<Gene YALI0E31009g at 0x7fb3b5644350>})
CYTDt2,cytidine transport in via proton symport,frozenset()
CYTK1,cytidylate kinase CMP ,frozenset()
CYTK2,cytidylate kinase dCMP ,frozenset()
DADK,deoxyadenylate kinase,frozenset()
DADNt2,deoxyadenosine transport in via proton symport,frozenset()
DADPtn,DADP nuclear transport,frozenset()
DAGCPT_SC,diacylglycerol cholinephosphotransferase yeast specific,frozenset({<Gene YALI0C10989g at 0x7fb3b5644690>})
MAN6PI,mannose 6 phosphate isomerase,frozenset({<Gene YALI0B18348g at 0x7fb3b5644610>})
DANNt2,7 8 Diaminononanoate reversible transport via proton symport,frozenset()
PMANM,phosphomannomutase,frozenset({<Gene YALI0D13112g at 0x7fb3b5644810>})
DASYNm_SC,CDP Diacylglycerol synthetase yeast specific mitochondrial,frozenset({<Gene YALI0E14443g at 0x7fb3b5644590>})
DB4PS,3 4 Dihydroxy 2 butanone 4 phosphate synthase,frozenset()
DBTSr,dethiobiotin synthase,frozenset()
DCDPtn,dCDP nuclear transport,frozenset()
DCMPDA,dCMP deaminase,frozenset({<Gene YALI0C23210g at 0x7fb3b5644910>})
DCTPD,dCTP deaminase,frozenset({<Gene YALI0C23210g at 0x7fb3b5644910>})
DCYTD,deoxycytidine deaminase,frozenset({<Gene YALI0D17072g at 0x7fb3b5644550>})
DCYTt2,deoxycytidine transport in via proton symport,frozenset()
GLUDy,glutamate dehydrogenase NADP ,frozenset({<Gene YALI0F17820g at 0x7fb3b56449d0>})
DDPAm,2 deoxy D arabino heptulosonate 7 phosphate synthetase mitochondrial,frozenset({<Gene YALI0B20020g at 0x7fb3b5644850>})
DESAT14,Myristicoyl CoA desaturase n C140CoA n C141CoA ,frozenset()
ANS,anthranilate synthase,"frozenset({<Gene YALI0D11110g at 0x7fb3b5643490>, <Gene YALI0E14751g at 0x7fb3b5643450>})"
GLNS,glutamine synthetase,"frozenset({<Gene YALI0F00506g at 0x7fb3b5644710>, <Gene YALI0D13024g at 0x7fb3b5644a90>})"
G3PD1ir,glycerol 3 phosphate dehydrogenase NAD ,frozenset({<Gene YALI0B02948g at 0x7fb3b56448d0>})
DGDPtn,dGDP nuclear transport,frozenset()
DGK1,deoxyguanylate kinase dGMPATP ,frozenset({<Gene YALI0C16434g at 0x7fb3b5644c10>})
DGSNt2,deoxyguanosine transport in via proton symport,frozenset()
TRIGSY_GLC,triglycerol yarrowia glucose synthesis,"frozenset({<Gene YALI0E16797g at 0x7fb3b5644c90>, <Gene YALI0E32769g at 0x7fb3b5644bd0>})"
GCC2am,glycine cleavage complex lipoamide mitochondrial,frozenset({<Gene YALI0A09856g at 0x7fb3b5644890>})
DHAK,dihydroxyacetone kinase,"frozenset({<Gene YALI0F01606g at 0x7fb3b5644e90>, <Gene YALI0F09273g at 0x7fb3b5644cd0>, <Gene YALI0E20691g at 0x7fb3b5644ad0>})"
DHAPtm,dihydroxyacetone phosphate transport mitochondrial,frozenset()
GCC2bim,glycine cleavage system lipoamide irreversible mitochondrial,frozenset({<Gene YALI0F02849g at 0x7fb3b5644ed0>})
DHFRim,dihydrofolate reductase mitochondrial,frozenset({<Gene YALI0C12771g at 0x7fb3b5643b10>})
DHFtm,dihydrofolate reversible mitochondrial transport,frozenset()
DHNPTtm,dhnpt mitochondrial transport,frozenset()
DHORD,dihydoorotic acid dehydrogenase,frozenset()
HSDyi,homoserine dehydrogenase NADP irreversible,frozenset({<Gene YALI0D01089g at 0x7fb3b5644e10>})
DHORTS,dihydroorotase,frozenset({<Gene YALI0F22781g at 0x7fb3b5644dd0>})
PGCD,phosphoglycerate dehydrogenase,frozenset({<Gene YALI0F09966g at 0x7fb3b5644f10>})
PSERT,phosphoserine transaminase,frozenset({<Gene YALI0F06468g at 0x7fb3b5644f50>})
DHPPDA,diaminohydroxyphosphoribosylaminopyrimidine deaminase,frozenset()
DHPSm,dihydropteroate synthase mitochondrial,frozenset({<Gene YALI0A02541g at 0x7fb3b56450d0>})
DHPTtm,Dihydropteroate mitochondrial transport via diffusion,frozenset()
PSP_L,phosphoserine phosphatase L serine ,frozenset({<Gene YALI0B20438g at 0x7fb3b56452d0>})
ENO,enolase,frozenset({<Gene YALI0F16819g at 0x7fb3b5644d10>})
DIAT,diamine transaminase,frozenset()
DICtm,dicarboxylate transport mitochondrial,frozenset({<Gene YALI0B03344g at 0x7fb3b5645250>})
DINSt2,deoxyinosine transport in via proton symport,frozenset()
DIPS,diphthine synthase,frozenset({<Gene YALI0F17138g at 0x7fb3b5645450>})
DMATT,dimethylallyltranstransferase,"frozenset({<Gene YALI0D17050g at 0x7fb3b5645090>, <Gene YALI0E05753g at 0x7fb3b56453d0>})"
DMQMT6m,3 Dimethylubiquinonol 3 methyltransferase mitochondrial,frozenset({<Gene YALI0B15884g at 0x7fb3b56454d0>})
DNMPPA,Dihydroneopterin monophosphate dephosphorylase,frozenset({<Gene YALI0E33495g at 0x7fb3b56455d0>})
DNTPPA,Dihydroneopterin triphosphate pyrophosphatase,frozenset()
ddca_t_,dodecanoate transport,frozenset()
DOLK,Dolichol kinase,frozenset({<Gene YALI0E18942g at 0x7fb3b5645550>})
FBA,fructose bisphosphate aldolase,frozenset({<Gene YALI0E26004g at 0x7fb3b5645610>})
G6PI,Glucose 6 phosphate isomerase,frozenset({<Gene YALI0F07711g at 0x7fb3b5645690>})
GAPD,glyceraldehyde 3 phosphate dehydrogenase,frozenset({<Gene YALI0C06369g at 0x7fb3b5645890>})
DPCOAK,dephospho CoA kinase,frozenset()
DPCOAKm,dephospho CoA kinase mitochondrial,frozenset()
DPGM,Diphosphoglyceromutase,"frozenset({<Gene YALI0D09229g at 0x7fb3b5645910>, <Gene YALI0B02728g at 0x7fb3b56456d0>})"
GLUK,Glucokinase,frozenset({<Gene YALI0E15488g at 0x7fb3b5645790>})
DPR,2 dehydropantoate 2 reductase,frozenset({<Gene YALI0F20900g at 0x7fb3b56459d0>})
DPRm,2 dehydropantoate 2 reductase mitochondrial,frozenset({<Gene YALI0D03135g at 0x7fb3b5645850>})
DRBK,Deoxyribokinase,frozenset({<Gene YALI0B14927g at 0x7fb3b5645a50>})
DTMPK,dTMP kinase,frozenset({<Gene YALI0C13354g at 0x7fb3b5645ad0>})
DTTPt,dTTP reversible uniport,frozenset()
DUMPtn,dUMP nuclear transport,frozenset()
DURIK1,deoxyuridine kinase ATPDeoxyuridine ,frozenset()
DURIPP,deoxyuridine phosphorylase,frozenset({<Gene YALI0F30129g at 0x7fb3b5645c50>})
DURIt2,deoxyuridine transport in via proton symport,frozenset()
DUTPDP,dUTP diphosphatase,frozenset({<Gene YALI0F19448g at 0x7fb3b5645cd0>})
DXHPScm,deoxyhypusine synthase cytosolicmitochondrial,frozenset()
D_LACDm,D lactate dehydrogenase mitochondrial,frozenset({<Gene YALI0E03212g at 0x7fb3b5645d50>})
D_LACtm,D lactate transport mitochondrial,frozenset()
E4HGLUtm,L erythro 4 hydroxyglutamate mitochondrial transport via diffusion,frozenset()
E4HGLUtp,L erythro 4 hydroxyglutamate peroxisomal transport via diffusion,frozenset()
E4Ptm,D erythrose 4 phosphate mtiochondrial transport via diffusion,frozenset()
ECOAH11p,3 hydroxyacyl CoA dehydratase 3 hydroxyhexacosyl CoA peroxisomal,frozenset({<Gene YALI0B10406g at 0x7fb3b5645b10>})
ECOAH4p,3 hydroxyacyl CoA dehydratase 3 hydroxydecanoyl CoA peroxisomal,frozenset({<Gene YALI0B10406g at 0x7fb3b5645b10>})
ECOAH5p,3 hydroxyacyl CoA dehydratase 3 hydroxydodecanoyl CoA peroxisomal,frozenset({<Gene YALI0B10406g at 0x7fb3b5645b10>})
ECOAH6p,3 hydroxyacyl CoA dehydratase 3 hydroxytetradecanoyl CoA peroxisomal,frozenset({<Gene YALI0B10406g at 0x7fb3b5645b10>})
ECOAH7p,3 hydroxyacyl CoA dehydratase 3 hydroxyhexadecanoyl CoA peroxisomal,frozenset({<Gene YALI0B10406g at 0x7fb3b5645b10>})
ECOAH8p,3 hydroxyacyl CoA dehydratase 3 hydroxyoctadecanoyl CoA peroxisomal,frozenset({<Gene YALI0B10406g at 0x7fb3b5645b10>})
EHGLAT,L erythro 4 Hydroxyglutamate2 oxoglutarate aminotransferase,"frozenset({<Gene YALI0F29337g at 0x7fb3b5642e50>, <Gene YALI0B02178g at 0x7fb3b5642e90>})"
EHGLATm,L erythro 4 Hydroxyglutamate2 oxoglutarate aminotransferase mitochondrial,"frozenset({<Gene YALI0F29337g at 0x7fb3b5642e50>, <Gene YALI0B02178g at 0x7fb3b5642e90>})"
EHGLATp,L erythro 4 Hydroxyglutamate2 oxoglutarate aminotransferase peroxisomal,"frozenset({<Gene YALI0B02178g at 0x7fb3b5642e90>, <Gene YALI0F29337g at 0x7fb3b5642e50>})"
HEX7,hexokinase D fructoseATP ,frozenset({<Gene YALI0B22308g at 0x7fb3b5645c90>})
EPMGH,Epimelibiose galactohydrolase,frozenset()
ERGSTt,ergosterol reversible transport,frozenset({<Gene YALI0F17996g at 0x7fb3b5645dd0>})
PDHm,pyruvate dehydrogenase,"frozenset({<Gene YALI0F20702g at 0x7fb3b5645e90>, <Gene YALI0E27005g at 0x7fb3b5645d10>})"
PFK,phosphofructokinase,frozenset({<Gene YALI0D16357g at 0x7fb3b5645e50>})
ETHAK,Ethanolamine kinase,frozenset({<Gene YALI0B09515g at 0x7fb3b5645f50>})
ETHAPT_SC,Ethanolaminephosphotransferase yeast specific,frozenset()
ETOHt,ethanol reversible transport,frozenset()
ETOHtm,ethanol transport to mitochondria diffusion ,frozenset()
EX_13BDglcn_LPAREN_e_RPAREN_,1 3 beta D Glucan exchange,frozenset()
EX_4abut_LPAREN_e_RPAREN_,4 Aminobutanoate exchange,frozenset()
EX_5aop_LPAREN_e_RPAREN_,5 Amino 4 oxopentanoate exchange,frozenset()
EX_8aonn_LPAREN_e_RPAREN_,8 Amino 7 oxononanoate exchange,frozenset()
EX_abt_LPAREN_e_RPAREN_,L Arabinitol exchange,frozenset()
EX_ac_LPAREN_e_RPAREN_,Acetate exchange,frozenset()
EX_ade_LPAREN_e_RPAREN_,Adenine exchange,frozenset()
EX_adn_LPAREN_e_RPAREN_,Adenosine exchange,frozenset()
EX_akg_LPAREN_e_RPAREN_,2 Oxoglutarate exchange,frozenset()
EX_ala_L_LPAREN_e_RPAREN_,L Alanine exchange,frozenset()
EX_alltn_LPAREN_e_RPAREN_,Allantoin exchange,frozenset()
EX_alltt_LPAREN_e_RPAREN_,Allantoate exchange,frozenset()
EX_amet_LPAREN_e_RPAREN_,S Adenosyl L methionine exchange,frozenset()
EX_arab_D_LPAREN_e_RPAREN_,D Arabinose exchange,frozenset()
EX_arab_L_LPAREN_e_RPAREN_,L Arabinose exchange,frozenset()
EX_arg_L_LPAREN_e_RPAREN_,L Arginine exchange,frozenset()
EX_asn_L_LPAREN_e_RPAREN_,L Asparagine exchange,frozenset()
EX_asp_L_LPAREN_e_RPAREN_,L Aspartate exchange,frozenset()
EX_buca_LPAREN_e_RPAREN_,butanoate exchange YL,frozenset()
EX_btn_LPAREN_e_RPAREN_,Biotin exchange,frozenset()
EX_chol_LPAREN_e_RPAREN_,Choline exchange,frozenset()
EX_cit_LPAREN_e_RPAREN_,Citrate exchange,frozenset()
EX_co2_LPAREN_e_RPAREN_,CO2 exchange,frozenset()
EX_crn_LPAREN_e_RPAREN_,L Carnitine exchange,frozenset()
EX_csn_LPAREN_e_RPAREN_,Cytosine exchange,frozenset()
EX_cys_L_LPAREN_e_RPAREN_,L Cysteine exchange,frozenset()
EX_cytd_LPAREN_e_RPAREN_,Cytidine exchange,frozenset()
EX_dad_2_LPAREN_e_RPAREN_,Deoxyadenosine exchange,frozenset()
EX_dann_LPAREN_e_RPAREN_,7 8 Diaminononanoate exchange,frozenset()
EX_dcyt_LPAREN_e_RPAREN_,Deoxycytidine exchange,frozenset()
EX_ddca_LPAREN_e_RPAREN_,dodecanoate uptake,frozenset()
EX_dgsn_LPAREN_e_RPAREN_,Deoxyguanosine exchange,frozenset()
EX_din_LPAREN_e_RPAREN_,Deoxyinosine exchange,frozenset()
EX_dttp_LPAREN_e_RPAREN_,dTTP exchange,frozenset()
EX_duri_LPAREN_e_RPAREN_,Deoxyuridine exchange,frozenset()
EX_ergst_LPAREN_e_RPAREN_,Ergosterol exchange,frozenset()
EX_etoh_LPAREN_e_RPAREN_,Ethanol exchange,frozenset()
EX_fmn_LPAREN_e_RPAREN_,FMN exchange,frozenset()
EX_for_LPAREN_e_RPAREN_,Formate exchange,frozenset()
EX_fru_LPAREN_e_RPAREN_,D Fructose exchange,frozenset()
EX_fum_LPAREN_e_RPAREN_,Fumarate exchange,frozenset()
EX_gal_LPAREN_e_RPAREN_,D Galactose exchange,frozenset()
EX_gam6p_LPAREN_e_RPAREN_,D Glucosamine 6 phosphate exchange,frozenset()
EX_gcald_LPAREN_e_RPAREN_,Glycolaldehyde exchange,frozenset()
EX_glc_LPAREN_e_RPAREN_,D Glucose exchange,"frozenset({<Gene YALI0E23287g at 0x7fb3b5646210>, <Gene YALI0D18876g at 0x7fb3b5646250>, <Gene YALI0A08998g at 0x7fb3b5646090>, <Gene YALI0B01342g at 0x7fb3b5645ed0>, <Gene YALI0D01111g at 0x7fb3b56462d0>, <Gene YALI0D00132g at 0x7fb3b5646310>, <Gene YALI0A01958g at 0x7fb3b5646150>, <Gene YALI0B00396g at 0x7fb3b5646190>})"
EX_gln_L_LPAREN_e_RPAREN_,L Glutamine exchange,frozenset()
EX_glu_L_LPAREN_e_RPAREN_,L Glutamate exchange,frozenset()
EX_gly_LPAREN_e_RPAREN_,Glycine exchange,frozenset()
EX_glyc_LPAREN_e_RPAREN_,Glycerol exchange,frozenset()
EX_gsn_LPAREN_e_RPAREN_,Guanosine exchange,frozenset()
EX_gthox_LPAREN_e_RPAREN_,Oxidized glutathione exchange,frozenset()
EX_gua_LPAREN_e_RPAREN_,Guanine exchange,frozenset()
EX_h2o_LPAREN_e_RPAREN_,H2O exchange,frozenset()
EX_h_LPAREN_e_RPAREN_,H exchange,frozenset()
EX_hdca_LPAREN_e_RPAREN_,Hexadecanoate n C160 exchange,frozenset()
EX_hca_LPAREN_e_RPAREN_,Hexadecanoate n C60 exchange YL,frozenset()
EX_hdcea_LPAREN_e_RPAREN_,hexadecenoate n C161 exchange,frozenset()
EX_his_L_LPAREN_e_RPAREN_,L Histidine exchange,frozenset()
EX_hxan_LPAREN_e_RPAREN_,Hypoxanthine exchange,frozenset()
EX_ile_L_LPAREN_e_RPAREN_,L Isoleucine exchange,frozenset()
EX_inost_LPAREN_e_RPAREN_,myo Inositol exchange,frozenset()
EX_ins_LPAREN_e_RPAREN_,Inosine exchange,frozenset()
EX_k_LPAREN_e_RPAREN_,K exchange,frozenset()
EX_lac_L_LPAREN_e_RPAREN_,L Lactate exchange,frozenset()
EX_leu_L_LPAREN_e_RPAREN_,L Leucine exchange,frozenset()
EX_lys_L_LPAREN_e_RPAREN_,L Lysine exchange,frozenset()
EX_mal_L_LPAREN_e_RPAREN_,L Malate exchange,frozenset()
EX_malt_LPAREN_e_RPAREN_,Maltose exchange,frozenset()
EX_man_LPAREN_e_RPAREN_,D Mannose exchange,frozenset()
EX_melib_LPAREN_e_RPAREN_,Melibiose exchange,frozenset()
EX_met_L_LPAREN_e_RPAREN_,L Methionine exchange,frozenset()
EX_mmet_LPAREN_e_RPAREN_,S Methyl L methionine exchange,frozenset()
EX_na1_LPAREN_e_RPAREN_,Sodium exchange,frozenset()
EX_nh4_LPAREN_e_RPAREN_,Ammonia exchange,frozenset()
EX_nmn_LPAREN_e_RPAREN_,NMN exchange,frozenset()
EX_o2_LPAREN_e_RPAREN_,O2 exchange,frozenset()
EX_ocdca_LPAREN_e_RPAREN_,octadecanoate n C180 exchange,frozenset()
EX_ocdcea_LPAREN_e_RPAREN_,octadecenoate n C181 exchange,frozenset()
EX_ocdcya_LPAREN_e_RPAREN_,octadecynoate n C182 exchange,frozenset()
EX_orn_LPAREN_e_RPAREN_,Ornithine exchange,frozenset()
EX_pap_LPAREN_e_RPAREN_,Adenosine 3 5 bisphosphate exchange,frozenset()
EX_phe_L_LPAREN_e_RPAREN_,L Phenylalanine exchange,frozenset()
EX_pi_LPAREN_e_RPAREN_,Phosphate exchange,frozenset()
EX_pnto_R_LPAREN_e_RPAREN_, R Pantothenate exchange,frozenset()
EX_pro_L_LPAREN_e_RPAREN_,L Proline exchange,frozenset()
EX_ptrc_LPAREN_e_RPAREN_,Putrescine exchange,frozenset()
EX_pyr_LPAREN_e_RPAREN_,Pyruvate exchange,frozenset()
EX_rib_D_LPAREN_e_RPAREN_,D Ribose exchange,frozenset()
EX_ribflv_LPAREN_e_RPAREN_,Riboflavin exchange,frozenset()
EX_sbt_D_LPAREN_e_RPAREN_,D Sorbitol exchange,frozenset()
EX_sbt_L_LPAREN_e_RPAREN_,L Sorbitol exchange,frozenset()
EX_ser_L_LPAREN_e_RPAREN_,L Serine exchange,frozenset()
EX_so4_LPAREN_e_RPAREN_,Sulfate exchange,frozenset()
EX_spmd_LPAREN_e_RPAREN_,Spermidine exchange,frozenset()
EX_sprm_LPAREN_e_RPAREN_,Spermine exchange,frozenset()
EX_srb_L_LPAREN_e_RPAREN_,L Sorbose exchange,frozenset()
EX_succ_LPAREN_e_RPAREN_,Succinate exchange,frozenset()
EX_thm_LPAREN_e_RPAREN_,Thiamin exchange,frozenset()
EX_thmmp_LPAREN_e_RPAREN_,Thiamin monophosphate exchange,frozenset()
EX_thmpp_LPAREN_e_RPAREN_,Thiamine diphosphate exchange,frozenset()
EX_thr_L_LPAREN_e_RPAREN_,L Threonine exchange,frozenset()
EX_thym_LPAREN_e_RPAREN_,Thymine exchange,frozenset()
EX_thymd_LPAREN_e_RPAREN_,Thymidine exchange,frozenset()
EX_tre_LPAREN_e_RPAREN_,Trehalose exchange,frozenset()
EX_trp_L_LPAREN_e_RPAREN_,L Tryptophan exchange,frozenset()
EX_ttdca_LPAREN_e_RPAREN_,tetradecanoate n C140 exchange,frozenset()
EX_tyr_L_LPAREN_e_RPAREN_,L Tyrosine exchange,frozenset()
EX_ura_LPAREN_e_RPAREN_,Uracil exchange,frozenset()
EX_urea_LPAREN_e_RPAREN_,Urea exchange,frozenset()
EX_uri_LPAREN_e_RPAREN_,Uridine exchange,frozenset()
EX_val_L_LPAREN_e_RPAREN_,L Valine exchange,frozenset()
EX_xan_LPAREN_e_RPAREN_,Xanthine exchange,frozenset()
EX_xtsn_LPAREN_e_RPAREN_,Xanthosine exchange,frozenset()
EX_xyl_D_LPAREN_e_RPAREN_,D Xylose exchange,frozenset()
EX_xylt_LPAREN_e_RPAREN_,Xylitol exchange,frozenset()
EX_zymst_LPAREN_e_RPAREN_,zymosterol exchange,frozenset()
FA100tp,fatty acid peroxisomal transport,frozenset({<Gene YALI0C04092g at 0x7fb3b5645f90>})
FA120ACPH,fatty acyl ACP hydrolase,"frozenset({<Gene YALI0B19382g at 0x7fb3b5643590>, <Gene YALI0B15059g at 0x7fb3b563f8d0>})"
FA120ACPtm,fatty acyl ACP mitochondrial transport,frozenset()
FA120tp,fatty acid peroxisomal transport,frozenset({<Gene YALI0C04092g at 0x7fb3b5645f90>})
FA140ACPH,fatty acyl ACP hydrolase,frozenset({<Gene YALI0B15059g at 0x7fb3b563f8d0>})
FA140ACPtm,fatty acyl ACP mitochondrial transport,frozenset()
FA140COAabcp,fatty acid peroxisomal transport via ABC system,"frozenset({<Gene YALI0A06655g at 0x7fb3b5646610>, <Gene YALI0D04246g at 0x7fb3b5646710>})"
FA140tp,fatty acid peroxisomal transport,frozenset()
FA141ACPH,fatty acyl ACP hydrolase,"frozenset({<Gene YALI0B19382g at 0x7fb3b5643590>, <Gene YALI0B15059g at 0x7fb3b563f8d0>})"
FA141ACPtm,fatty acyl ACP mitochondrial transport,frozenset()
FA141COAabcp,fatty acid peroxisomal transport via ABC system,"frozenset({<Gene YALI0D04246g at 0x7fb3b5646710>, <Gene YALI0A06655g at 0x7fb3b5646610>})"
FA141tp,fatty acid peroxisomal transport,frozenset()
FA160ACPH,fatty acyl ACP hydrolase,"frozenset({<Gene YALI0B19382g at 0x7fb3b5643590>, <Gene YALI0B15059g at 0x7fb3b563f8d0>})"
FA160ACPtm,fatty acyl ACP mitochondrial transport,frozenset()
FA160COAabcp,fatty acyl CoA peroxisomal transport via ABC system,"frozenset({<Gene YALI0A06655g at 0x7fb3b5646610>, <Gene YALI0D04246g at 0x7fb3b5646710>})"
FA160tp,fatty acid peroxisomal transport,frozenset()
FA161ACPH,fatty acyl ACP hydrolase,"frozenset({<Gene YALI0B19382g at 0x7fb3b5643590>, <Gene YALI0B15059g at 0x7fb3b563f8d0>})"
FA161ACPtm,fatty acyl ACP mitochondrial transport,frozenset()
FA161COAabcp,fatty acyl CoA peroxisomal transport via ABC system,"frozenset({<Gene YALI0A06655g at 0x7fb3b5646610>, <Gene YALI0D04246g at 0x7fb3b5646710>})"
FA161tp,fatty acid peroxisomal transport,frozenset()
FA180ACPH,fatty acyl ACP hydrolase,"frozenset({<Gene YALI0B19382g at 0x7fb3b5643590>, <Gene YALI0B15059g at 0x7fb3b563f8d0>})"
FA180ACPtm,fatty acyl ACP mitochondrial transport,frozenset()
FA180COAabcp,fatty acyl CoA transport via ABC system,"frozenset({<Gene YALI0A06655g at 0x7fb3b5646610>, <Gene YALI0D04246g at 0x7fb3b5646710>})"
FA181ACPH,fatty acyl ACP hydrolase,"frozenset({<Gene YALI0B19382g at 0x7fb3b5643590>, <Gene YALI0B15059g at 0x7fb3b563f8d0>})"
FA181ACPtm,fatty acyl ACP mitochondrial transport,frozenset()
FA181COAabcp,fatty acyl CoA peroxisomal transport via ABC system,"frozenset({<Gene YALI0A06655g at 0x7fb3b5646610>, <Gene YALI0D04246g at 0x7fb3b5646710>})"
FA182ACPH,fatty acyl ACP hydrolase,"frozenset({<Gene YALI0B19382g at 0x7fb3b5643590>, <Gene YALI0B15059g at 0x7fb3b563f8d0>})"
FA182ACPtm,fatty acyl ACP mitochondrial transport,frozenset()
